n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
655,0.00080507777639480626,3.5083558501348645e-06,0,0,-0.0164374406429319,-1.0713652187632761e-14,-0.60258235217308553,1.6892228563597262e-05,20
656,0.0014982947234935466,2.5779088920553189e-07,0,0,-0.016576922873705074,-6.591949208711867e-17,-0.61105113178277115,1.701665127606686e-05,20
657,1.1018532792745578e-05,1.2237438673877274e-06,0,0,-0.016522721827986531,-2.0816681711721685e-15,-0.6122432713944006,1.7039262426875604e-05,20
658,8.3482064411225144e-05,1.0928067822557985e-05,0,0,-0.016268360245677682,-1.4432899320127035e-15,-0.60612715208790591,1.6959991140755516e-05,20
659,2.9311687665902553e-07,1.3490113443303051e-06,0,0,-0.015795705103601954,-3.5527136788005009e-15,-0.59222088898096903,1.6770533492448e-05,20
660,0.0014897988038373429,8.7186806177331275e-07,0,0,-0.01507838059815958,-7.9936057773011271e-15,-0.56967736154595805,1.6454795772230533e-05,20
661,9.97292867052558e-07,8.1028591015070607e-06,0,0,-0.014088090234436024,0,-0.53746971850557301,1.5989925727473189e-05,20
662,0.0018977646961032273,6.7955073133508234e-06,0,0,-0.012804204103813888,-1.2434497875801753e-14,-0.49469245907815917,1.5348141205432681e-05,20
663,0.00014524784819073603,1.7018483727800156e-06,0,0,-0.011226324160475087,1.4210854715202004e-14,-0.44097908994632107,1.4499582371934512e-05,20
664,1.0523675254079578e-05,4.3155164428529505e-07,0,0,-0.0093881923830032576,-1.7763568394002505e-15,-0.37699912232417532,1.3416315225318611e-05,20
665,1.0460140200735748e-06,9.0783366402942127e-09,0,0,-0.0073694408666291622,0,-0.30493594768957877,1.2077367424356493e-05,20
666,0.00024119776375611441,2.3954829882319526e-05,0,0,-0.0053000493156609707,0,-0.22878108381263473,1.0474290167306422e-05,20
667,8.4155474258709707e-06,3.3079179392760835e-08,0,0,-0.0033522742338512046,-4.4408920985006262e-16,-0.15424887731239778,8.6162990193625902e-06,20
668,5.3784098364775823e-06,4.3152361747315531e-08,0,0,-0.0017175034475442885,5.9952043329758453e-15,-0.088167803649604082,6.533733251009205e-06,20
669,0.0011929062479082546,7.482744886996829e-06,0,0,-0.00057103536072489192,-1.3322676295501878e-14,-0.0373642515818986,4.2786754663852382e-06,20
670,1.3274345826291298e-06,3.0301008360810425e-06,0,0,-3.41218549522182e-05,-1.1546319456101628e-14,-0.0072816109936510998,1.9232507524927431e-06,20
671,0.0015268635817729482,1.8499904081507584e-07,0,0,-0.00014606563638963621,1.9761969838327786e-14,-0.00075945126845056166,4.954652750697487e-07,20
672,1.6414532276601088e-07,2.5530649823248172e-06,0,0,-0.00085677815770424104,-2.886579864025407e-15,-0.017408295120397099,2.7925155252553972e-06,20
673,0.0001236988434887277,2.054965851328575e-07,0,0,-0.0020423911687181828,5.1958437552457326e-14,-0.053811453455281821,4.9766943130441916e-06,20
674,0.00021549086285574322,7.5647424577668712e-07,0,0,-0.0035373673592715704,-1.1546319456101628e-14,-0.10445971744945126,6.9685943672964421e-06,20
675,0.00052948297499022881,2.9389321089247837e-06,0,0,-0.0051710875503694353,-5.3290705182007514e-15,-0.16305438380722848,8.7292959245919062e-06,20
676,3.5241309848472333e-06,1.3909834715922274e-08,0,0,-0.0067974737314990819,-5.9952043329758453e-15,-0.22373531551514247,1.024224140788154e-05,20
677,0.00066129206392070777,3.9248858465969746e-07,0,0,-0.0083113327452917218,1.1546319456101628e-14,-0.28191083252479388,1.1510101457951388e-05,20
678,0.00049725750666970356,3.5293621683264071e-07,0,0,-0.0096511792984301792,-3.3306690738754696e-14,-0.33458175971396287,1.2549973439176412e-05,20
679,0.00016087471716107375,1.2801929993325123e-05,0,0,-0.010792370278990049,-3.9968028886505635e-15,-0.38023910543173756,1.338778989122767e-05,20
680,3.0360649424727452e-05,5.3372549056771384e-06,0,0,-0.011735561608903211,3.9968028886505635e-15,-0.41850597583306381,1.4052966340506368e-05,20
681,0.00057964479617556844,6.6866478864042447e-07,0,0,-0.012494570286270879,3.9968028886505635e-15,-0.44969258956709091,1.4573935277774242e-05,20
682,0.0011420472141790399,1.338815087813796e-05,0,0,-0.013086007609343753,-5.3290705182007514e-15,-0.47438062448400942,1.4974800087912455e-05,20
683,8.8995152506724172e-06,3.1243776402362598e-06,0,0,-0.01352153757243002,-1.9984014443252818e-15,-0.49309263836193429,1.5273045289867953e-05,20
684,0.0010141823897851445,3.4444665215012341e-06,0,0,-0.013802728609983328,-6.6613381477509392e-16,-0.50605892902217597,1.5478095121683076e-05,20
685,0.00016128241181286555,6.5240019460434272e-06,0,0,-0.013918210409622499,-2.7200464103316335e-15,-0.51307453764994915,1.559050077402636e-05,20
686,0.000301787598991354,2.2530854737469816e-06,0,0,-0.013843039537740132,-3.3306690738754696e-16,-0.51343915327023715,1.5601617112063817e-05,20
687,2.5918218217345982e-05,3.0850912471801628e-11,0,0,-0.013540596517456094,1.8873791418627661e-15,-0.50598478672182101,1.5493761958481227e-05,20
688,0.00015292512025826975,7.5815314865793572e-06,0,0,-0.012967748163705828,-2.886579864025407e-15,-0.48921181392896163,1.524099948346061e-05,20
689,0.0028637430798051961,5.6274719335860905e-06,0,0,-0.012084128321855125,-5.3290705182007514e-15,-0.4615637195312674,1.4810816200234307e-05,20
690,3.5970988039004775e-05,4.8878416034207914e-07,0,0,-0.01086586596631367,6.2172489379008766e-15,-0.42186266916491277,1.4167015091367636e-05,20
691,0.0018539509739880775,8.2437503320277075e-07,0,0,-0.0093226014809326685,1.7763568394002505e-15,-0.36988921849312284,1.3274078720029568e-05,20
692,0.0003597878707183527,1.2317203601721175e-06,0,0,-0.0075141822103361733,4.8849813083506888e-15,-0.30701414345131539,1.2102986588555588e-05,20
693,0.0014387513112869058,3.039766704287198e-06,0,0,-0.0055607645156161567,-1.7763568394002505e-15,-0.23669323400286757,1.0637997749661628e-05,20
694,0.00043423246055477525,9.7851757471333053e-07,0,0,-0.0036388725212308515,4.4408920985006262e-16,-0.16456428814037949,8.8833065975125602e-06,20
695,0.00075136885290365296,3.9734303253494965e-06,0,0,-0.0019583487431376057,6.6613381477509392e-16,-0.09791203245187674,6.8679635940597057e-06,20
696,0.0021070367802240326,2.3134498528134427e-06,0,0,-0.00072190508139513554,1.2434497875801753e-14,-0.044445887316932442,4.647356307557959e-06,20
697,8.905665680087673e-05,1.8351999540616936e-05,0,0,-7.7945030259485293e-05,1.1213252548714081e-14,-0.010638038004174177,2.3004408387076034e-06,20
698,0.00023702858899281071,4.4982596159355686e-06,0,0,-8.3338418487954868e-05,-1.27675647831893e-15,-0.00015056388959777678,1.4795243590824221e-07,20
699,0.002377570296724368,1.0317804835395509e-06,0,0,-0.00069097991277189408,6.9666494795228573e-15,-0.012947155710449465,2.4099587774298286e-06,20
700,3.6624204652665854e-05,7.3049494529645476e-05,0,0,-0.0017669247168292657,8.9650509238481391e-15,-0.045443321847336904,4.5806705560500558e-06,20
701,2.3397659887982863e-05,4.239742187789954e-07,0,0,-0.0031291784531255473,3.0947466811426239e-15,-0.091609129444812254,6.5350393701718837e-06,20
702,4.546945693610973e-07,1.106385326969546e-05,0,0,-0.0045923129085672088,-5.0098813986210189e-15,-0.1445551819834705,8.2292048041100778e-06,20
703,1.5434052113946039e-06,1.4241756327255337e-07,0,0,-0.0060027737575119033,1.4155343563970746e-15,-0.19801523108350594,9.6459677323370309e-06,20
704,0.000914983920315392,9.9770060310900074e-08,0,0,-0.0072569178355514907,1.609823385706477e-15,-0.24730546085324079,1.079108124641357e-05,20
705,4.3162801226101848e-05,3.3922334620359222e-06,0,0,-0.0083021436222141531,3.5527136788005009e-15,-0.28963916263984402,1.1687226805611007e-05,20
706,0.00090214077628306816,8.4457765128947201e-06,0,0,-0.0091267230107572317,-3.9968028886505635e-15,-0.32392518264250647,1.2367079879345379e-05,20
